date,kr_interest
2007-04-09,5.11
2007-04-10,5.11
2007-04-11,5.11
2007-04-12,5.11
2007-04-13,5.11
2007-04-14,5.11
2007-04-15,5.11
2007-04-16,5.11
2007-04-17,5.11
2007-04-18,5.11
2007-04-19,5.11
2007-04-20,5.11
2007-04-21,5.11
2007-04-22,5.11
2007-04-23,5.11
2007-04-24,5.11
2007-04-25,5.11
2007-04-26,5.11
2007-04-27,5.11
2007-04-28,5.11
2007-04-29,5.11
2007-04-30,5.11
2007-05-01,5.23
2007-05-02,5.23
2007-05-03,5.23
2007-05-04,5.23
2007-05-05,5.23
2007-05-06,5.23
2007-05-07,5.23
2007-05-08,5.23
2007-05-09,5.23
2007-05-10,5.23
2007-05-11,5.23
2007-05-12,5.23
2007-05-13,5.23
2007-05-14,5.23
2007-05-15,5.23
2007-05-16,5.23
2007-05-17,5.23
2007-05-18,5.23
2007-05-19,5.23
2007-05-20,5.23
2007-05-21,5.23
2007-05-22,5.23
2007-05-23,5.23
2007-05-24,5.23
2007-05-25,5.23
2007-05-26,5.23
2007-05-27,5.23
2007-05-28,5.23
2007-05-29,5.23
2007-05-30,5.23
2007-05-31,5.23
2007-06-01,5.43
2007-06-02,5.43
2007-06-03,5.43
2007-06-04,5.43
2007-06-05,5.43
2007-06-06,5.43
2007-06-07,5.43
2007-06-08,5.43
2007-06-09,5.43
2007-06-10,5.43
2007-06-11,5.43
2007-06-12,5.43
2007-06-13,5.43
2007-06-14,5.43
2007-06-15,5.43
2007-06-16,5.43
2007-06-17,5.43
2007-06-18,5.43
2007-06-19,5.43
2007-06-20,5.43
2007-06-21,5.43
2007-06-22,5.43
2007-06-23,5.43
2007-06-24,5.43
2007-06-25,5.43
2007-06-26,5.43
2007-06-27,5.43
2007-06-28,5.43
2007-06-29,5.43
2007-06-30,5.43
2007-07-01,5.54
2007-07-02,5.54
2007-07-03,5.54
2007-07-04,5.54
2007-07-05,5.54
2007-07-06,5.54
2007-07-07,5.54
2007-07-08,5.54
2007-07-09,5.54
2007-07-10,5.54
2007-07-11,5.54
2007-07-12,5.54
2007-07-13,5.54
2007-07-14,5.54
